x1,date,average_price,total_volume,x4046,x4225,x4770,total_bags,small_bags,large_bags,x_large_bags,type,year,region
46,2015-02-08,1.09,4457049.41,128978.49,3354876.63,7219.81,965974.48,869917.39,96055.45,1.64,conventional,2015,Northeast
47,2017-02-05,0.76,1093144.23,160260.61,306958.6,957.35,624967.67,471283.84,152490.79,1193.04,conventional,2017,Seattle
8,2015-11-01,1.23,242525.92,37553.46,78353.97,535.26,126083.23,25674.73,100408.5,0,organic,2015,West
26,2015-06-28,1.88,4785.67,378.59,1816.51,26.54,2564.03,2564.03,0,0,organic,2015,Philadelphia
2,2017-12-17,1.7,64716.36,9069.25,24736.13,0,30910.98,30852.65,58.33,0,organic,2017,LosAngeles
10,2017-10-22,2.11,3627.68,368.11,1504.17,0,1755.4,598.89,1156.51,0,organic,2017,Spokane
6,2017-11-19,1.23,187293,48360,70014,1097,67821,64562,3227,32,conventional,2017,RichmondNorfolk
23,2017-07-23,0.89,1072590.2,540131.79,267082.3,12298.76,253077.35,148179.1,104409.36,488.89,conventional,2017,PhoenixTucson
32,2016-05-15,1.79,112278.17,5714.39,26314.99,2397.2,77851.59,67997.52,9854.07,0,organic,2016,Northeast
4,2017-12-03,2.07,14737.28,8275.24,5745.39,0,716.65,712.21,4.44,0,organic,2017,SanFrancisco
42,2015-03-08,0.86,2797745.89,2005781.71,400644.42,62567.6,328752.16,311497.6,15650.13,1604.43,conventional,2015,LosAngeles
34,2016-05-01,1.24,225346.56,16747.64,132440.93,0,76157.99,76042.95,115.04,0,organic,2016,California
2,2017-12-17,1.54,14047.41,1020.5,8775.1,0,4251.81,4251.81,0,0,organic,2017,SanDiego
28,2016-06-12,1.24,250231.06,43253.79,114426.76,124.76,92425.75,85233.81,1541.94,5650,conventional,2016,HarrisburgScranton
30,2017-06-04,1.7,84842.97,1923.04,72573.09,100.07,10246.77,2834.14,6342.63,1070,conventional,2017,Albany
25,2016-07-03,0.95,515792.87,214287.07,125503.35,20517.76,155484.69,116583.25,38901.44,0,conventional,2016,SouthCarolina
45,2015-02-15,1.92,3125.59,219.08,1098.75,1056.49,751.27,751.27,0,0,organic,2015,Charlotte
7,2016-11-06,1.4,231422.37,80604.72,46242.75,5688.67,98886.23,97805.5,1073.59,7.14,conventional,2016,Detroit
31,2015-05-24,1.3,158917.21,7888.33,74169.01,3111.69,73748.18,69048.81,4663.55,35.82,conventional,2015,GrandRapids
25,2015-07-05,1.05,190716.43,4890.33,119457.27,13495.86,52872.97,30631.37,21037.53,1204.07,conventional,2015,Indianapolis
46,2015-02-08,1.48,730874.31,215657.99,273897.84,5316.55,236001.93,179887.47,56114.46,0,organic,2015,TotalUS
26,2015-06-28,0.95,198267.13,5514.89,121148.6,9267.12,62336.52,34863.23,26114.84,1358.45,conventional,2015,Indianapolis
33,2015-05-10,1.3,27835.34,13918.56,13294.66,0,622.12,622.12,0,0,organic,2015,Sacramento
13,2016-09-25,1.26,158194.1,58289.9,21092.67,145.41,78666.12,29683.13,48982.99,0,conventional,2016,Jacksonville
46,2017-02-12,0.78,226525.29,100274,43260.87,1988.53,81001.89,76106.35,4894.13,1.41,conventional,2017,Columbus
47,2015-02-01,1.24,12276.58,6669.52,1653.73,0,3953.33,3953.33,0,0,organic,2015,DallasFtWorth
